feats,op,order,v_sep,tail_ir,flip_rate,half1_sep,half2_sep,range_corr,redundancy,max_component_sep,lift_over_components
hammer_pattern|Realized_Vol_21d|gap_in_atr_terms,min3,3,0.06233056760879636,0.815200831879317,0.28125,0.06262185950340213,0.062048102741299876,0.08471394685196469,0.31665493749772144,0.035384398153722414,0.026946169455073943
High_Close|information_rate_of_change|trading_signal_composite,mean3,3,0.06284156389285596,0.8149369328310492,0.3125,0.06132268971923602,0.06431441157636618,0.3867091547577341,0.5192926790167373,0.05191560677635443,0.01092595711650153
atr_percentage|trading_signal_composite|G_High_Price_Momentum_Indicator,mean3,3,0.060954565026249484,0.813244600610193,0.34375,0.0718074956829408,0.050430511056124575,0.47132495775848604,0.5278364552298934,0.049875357889666544,0.01107920713658294
ATR%|trading_signal_composite|G_High_Price_Momentum_Indicator,mean3,3,0.060954565026249484,0.813244600610193,0.34375,0.0718074956829408,0.050430511056124575,0.4713249590598063,0.5278365085635432,0.049875357889666544,0.01107920713658294
ATR%|open_close_ratio|volatility_score,mean3,3,0.06456573842034372,0.8120350342030425,0.3125,0.06864503032665913,0.060610061420280296,0.24091850990790728,0.6164210911852669,0.049875357889666544,0.014690380530677172
atr_percentage|open_close_ratio|volatility_score,mean3,3,0.06456573842034372,0.8120350342030425,0.3125,0.06864503032665913,0.060610061420280296,0.24091849759526063,0.6164210355160595,0.049875357889666544,0.014690380530677172
ATR%|trend_consistency_5d|cv_20d_regime_low,mean3,3,0.06044825019629029,0.8112765567095732,0.375,0.07995890088636244,0.04152883134531122,0.14714934623801748,0.5608404707123577,0.049875357889666544,0.010572892306623748
atr_percentage|direction_flipper_count5|cv_20d_regime_low,mean3,3,0.06044825019629029,0.8112765567095732,0.375,0.07995890088636244,0.04152883134531122,0.1471493281839085,0.5608404116160632,0.049875357889666544,0.010572892306623748
ATR%|direction_flipper_count5|cv_20d_regime_low,mean3,3,0.06044825019629029,0.8112765567095732,0.375,0.07995890088636244,0.04152883134531122,0.1471493460472221,0.5608404720065069,0.049875357889666544,0.010572892306623748
atr_percentage|trend_consistency_5d|cv_20d_regime_low,mean3,3,0.06044825019629029,0.8112765567095732,0.375,0.07995890088636244,0.04152883134531122,0.14714932837470396,0.5608404103219148,0.049875357889666544,0.010572892306623748
atr_percentage|Volume%_rolling_90|cv_20d_regime_low,mean3,3,0.06382608778871551,0.8108431401852316,0.328125,0.06693884779376126,0.06080765384442872,0.40010915311391587,0.5899833785405745,0.049875357889666544,0.01395072989904897
ATR%|Volume%_rolling_90|cv_20d_regime_low,mean3,3,0.06382608778871551,0.8108431401852316,0.328125,0.06693884779376126,0.06080765384442872,0.40010915724057483,0.5899834391419693,0.049875357889666544,0.01395072989904897
mp_d4_b396_sym_trace|ATR%|trading_signal_composite,mean3,3,0.07311949401937413,0.809779691778307,0.3125,0.07532922418538482,0.0709767253735456,0.4219088542840294,0.5883903462806763,0.05552749810283517,0.017591995916538962
mp_d4_b396_sym_trace|atr_percentage|trading_signal_composite,mean3,3,0.07311949401937413,0.809779691778307,0.3125,0.07532922418538482,0.0709767253735456,0.42190885228634345,0.5883902978381929,0.05552749810283517,0.017591995916538962
High_Close|atr_percentage|hammer_pattern,mean3,3,0.07440244229853915,0.809718813312685,0.28125,0.076585554312875,0.07228548519372863,0.44611400515697525,0.6715779771974939,0.05191560677635443,0.022486835522184723
High_Close|ATR%|hammer_pattern,mean3,3,0.07440244229853915,0.809718813312685,0.28125,0.076585554312875,0.07228548519372863,0.4461140070442317,0.6715779759354717,0.05191560677635443,0.022486835522184723
ATR%|trading_signal_composite|mp_d5_b169_sym_top_left,mean3,3,0.06491980642911654,0.8076607392865944,0.296875,0.07309439847158167,0.05699292929702912,0.4821125326797579,0.6582309479622311,0.049875357889666544,0.01504444853945
atr_percentage|trading_signal_composite|mp_d5_b169_sym_top_left,mean3,3,0.06491980642911654,0.8076607392865944,0.296875,0.07309439847158167,0.05699292929702912,0.48211253266023785,0.6582309490412527,0.049875357889666544,0.01504444853945
ATR%|mp_d5_b169_sym_top_left|cv_20d_regime_low,mean3,3,0.0679897648250791,0.806200385883647,0.34375,0.07468194218665056,0.06150038071688858,0.3535070478940133,0.6018295317584434,0.049875357889666544,0.018114406935412553
