feature,tdmd_ic,tdmd_ir,tdmd_days,global_ic,global_ir,model_rank,abs_tdmd_ir
market_regime_composite,0.023678013849351483,0.14304234149596742,71,0.006077989807493155,0.04647463943162759,567.0,0.14304234149596742
trend_direction_20d,0.023678013849351483,0.14304234149596742,71,0.006077989807493155,0.04647463943162759,549.0,0.14304234149596742
days_since_high,-0.024853131661899636,-0.13658161956001233,71,-0.015603297917088437,-0.1290162023946918,193.0,0.13658161956001233
N1_WN_LC,-0.019397212750693078,-0.13612158715448208,71,0.008583134188374773,0.09658292957193877,,0.13612158715448208
Price_Differential_Ratio_ExtremeHigh,-0.015612709122721084,-0.13410643599836833,71,-0.0056233179561218545,-0.11097644282047715,581.0,0.13410643599836833
volume_momentum_ratio,0.017284161427029782,0.13325790740189497,71,0.02194961035640895,0.4749032288937295,329.0,0.13325790740189497
volume_trend_strength,0.017284161427029782,0.13325790740189497,71,0.021949655564893224,0.4749047048044603,529.0,0.13325790740189497
volume_trend_5d_20d,0.017284161427029782,0.13325790740189497,71,0.02194961035640895,0.4749032288937295,259.0,0.13325790740189497
G_Lagged_Price_Volume_Convergence,0.015806574458488026,0.13246927942468137,71,0.006612232710960624,0.0545553386837851,327.0,0.13246927942468137
Pattern_Indicator,-0.022767209351252933,-0.13244086692595888,71,-0.003380912654142244,-0.024932638509543487,234.0,0.13244086692595888
return_10d,0.02313189548564063,0.1313174237097186,71,0.011131149029283461,0.07372437194974678,349.0,0.1313174237097186
percent_change_Close_lag_5,0.02147432027349493,0.12988705640139264,71,-0.006077607822504437,-0.050996581279768236,384.0,0.12988705640139264
ATR%,-0.015372370764402376,-0.12739338403408837,71,-0.00978170656463015,-0.05991315296597915,10.0,0.12739338403408837
atr_percentage,-0.015372370764402376,-0.12739338403408837,71,-0.009781707273756744,-0.059913143409938405,15.0,0.12739338403408837
G_Price_Volume_Disparity_Index,-0.016487331321357566,-0.12640052850458888,71,-0.010892570962699973,-0.07845594767809481,280.0,0.12640052850458888
Volume_lag_1,-0.01616244862855531,-0.12515465956933322,71,0.009210710252474595,0.09303993771275058,216.0,0.12515465956933322
cv_10d_percentile,-0.016283473593507562,-0.12345519676462696,71,0.004329998166259921,0.053923797246021705,334.0,0.12345519676462696
gap_absolute,0.016830744239350756,0.11974627891606139,71,0.007596539537787416,0.07520259622303513,455.0,0.11974627891606139
mp_d4_b50_raw_top_left,-0.015585487803124983,-0.118638890164519,71,-0.02741475429235902,-0.3179963115211277,,0.118638890164519
F1_PinkNoise,-0.015245268897152078,-0.1176011306364618,71,0.005374513410609533,0.060723233243500076,,0.1176011306364618
cv_10d_regime_low,0.011116179996687976,0.11564335603036976,71,-0.00493918866062444,-0.08343397430226698,559.0,0.11564335603036976
F4_Price_Ratio,-0.019503993006212337,-0.1151985105723641,71,0.0047285946087588515,0.04474505481772541,,0.1151985105723641
Log_Return,-0.020376649628563392,-0.11287805013887146,71,0.004683117880787929,0.039519793310024476,243.0,0.11287805013887146
